total testcases: 843
coverage_c=1407, time_used=4870357
coverage_c=1407, time_used=2844107
coverage_c=1407, time_used=2792893
coverage_c=1407, time_used=4746252
coverage_c=1407, time_used=4819076
coverage_c=1407, time_used=3070190
coverage_c=1407, time_used=4825702
coverage_c=1407, time_used=4910073
coverage_c=1407, time_used=4856484
coverage_c=1407, time_used=3502087
coverage_c=1407, time_used=1907268
coverage_c=1407, time_used=4815421
coverage_c=1407, time_used=3799281
coverage_c=1407, time_used=2732889
coverage_c=1407, time_used=4799535
coverage_c=1407, time_used=4425930
coverage_c=1407, time_used=4442310
coverage_c=1407, time_used=4159680
coverage_c=1407, time_used=4864092
coverage_c=1407, time_used=10667491
coverage_c=1407, time_used=4780102
coverage_c=1407, time_used=4845129
coverage_c=1407, time_used=4831616
coverage_c=1407, time_used=12305659
coverage_c=1407, time_used=3519798
coverage_c=1407, time_used=2107399
coverage_c=1407, time_used=3213442
coverage_c=1407, time_used=4770946
coverage_c=1407, time_used=4844832
coverage_c=1407, time_used=3805736
coverage_c=1407, time_used=9388061
coverage_c=1407, time_used=9931901
coverage_c=1407, time_used=7436683
coverage_c=1407, time_used=4762588
coverage_c=1407, time_used=4866210
coverage_c=1407, time_used=4789431
coverage_c=1407, time_used=4891645
coverage_c=1407, time_used=2405538
coverage_c=1407, time_used=3285819
coverage_c=1407, time_used=4802298
coverage_c=1407, time_used=4857703
coverage_c=1407, time_used=4853991
coverage_c=1407, time_used=4781243
coverage_c=1407, time_used=2912149
coverage_c=1407, time_used=3193373
coverage_c=1407, time_used=4138131
coverage_c=1407, time_used=2809893
coverage_c=1407, time_used=2839913
coverage_c=1407, time_used=3164355
coverage_c=1407, time_used=3735671
coverage_c=1407, time_used=2990926
coverage_c=1407, time_used=2888531
coverage_c=1407, time_used=3001759
coverage_c=1407, time_used=2989166
coverage_c=1407, time_used=3522554
coverage_c=1407, time_used=4733784
coverage_c=1407, time_used=4868412
coverage_c=1407, time_used=4851677
coverage_c=1407, time_used=4848901
coverage_c=1407, time_used=4954060
coverage_c=1407, time_used=4795355
coverage_c=1407, time_used=2799332
coverage_c=1407, time_used=4047870
coverage_c=1407, time_used=3600797
Exception 发生了, [Errno 111] Connection refused
coverage_c=1407, time_used=3139580
coverage_c=1407, time_used=2635895
coverage_c=1407, time_used=2827125
coverage_c=1407, time_used=3584726
coverage_c=1407, time_used=4734355
coverage_c=1407, time_used=4802825
coverage_c=1407, time_used=4821309
coverage_c=1407, time_used=2692673
coverage_c=1407, time_used=4811855
coverage_c=1407, time_used=14227746
coverage_c=1407, time_used=14945886
coverage_c=1407, time_used=9757604
coverage_c=1407, time_used=7856085
coverage_c=1407, time_used=4292582
coverage_c=1407, time_used=3041661
coverage_c=1407, time_used=10302005
coverage_c=1407, time_used=9503270
coverage_c=1407, time_used=4050508
coverage_c=1407, time_used=3253359
coverage_c=1407, time_used=2905251
coverage_c=1407, time_used=5475058
coverage_c=1407, time_used=10129316
coverage_c=1407, time_used=12332645
coverage_c=1407, time_used=6025053
coverage_c=1407, time_used=10401956
coverage_c=1407, time_used=3632018
coverage_c=1407, time_used=14004865
coverage_c=1407, time_used=12182141
coverage_c=1407, time_used=15698590
coverage_c=1407, time_used=5975206
coverage_c=1407, time_used=10426956
