time_used(ms), py_cov, coverage_time_used(ms)
88149.95312690735, 2669, 5.77403
88166.51630401611, 2669, 6.287423
88183.98380279541, 2669, 7.188915
88197.5634098053, 2669, 3.262769
88215.14296531677, 2669, 7.282506
88231.32681846619, 2669, 5.820815
88247.02334403992, 2669, 5.440863
88262.79330253601, 2669, 5.580385
88277.7853012085, 2669, 4.860763
88293.13540458679, 2669, 3.672027
88308.45499038696, 2669, 5.109653
88324.48625564575, 2669, 5.657437
88339.24746513367, 2669, 4.437993
88360.79835891724, 2669, 11.199075
88376.13415718079, 2669, 5.063444
88390.2542591095, 2669, 3.706942
88405.18379211426, 2669, 4.602598
88420.25351524353, 2669, 4.745431
88434.58771705627, 2669, 4.052915
88448.39572906494, 2669, 3.390032
88462.07022666931, 2669, 3.361749
88476.34625434875, 2669, 3.794508
88489.90941047668, 2669, 3.058354
88503.69930267334, 2669, 3.348463
88517.96817779541, 2669, 3.76239
88532.06586837769, 2669, 3.79677
88545.67003250122, 2669, 3.330342
88559.68976020813, 2669, 3.600154
88573.2855796814, 2669, 3.100869
88587.00203895569, 2669, 3.427728
88599.59745407104, 2669, 2.156746
88612.9240989685, 2669, 3.044763
88626.03068351746, 2669, 2.792918
88639.14489746094, 2669, 2.829039
88651.14879608154, 2669, 1.720117
88663.60974311829, 2669, 2.1987
88681.23364448547, 2669, 7.378709
88694.67449188232, 2669, 3.228794
88708.06002616882, 2669, 3.231531
88725.85225105286, 2669, 6.096967
88740.59247970581, 2669, 4.600455
88756.37888908386, 2669, 4.780154
88772.3138332367, 2669, 5.724946
88788.92731666565, 2669, 6.400021
88809.58271026611, 2669, 10.382219
88825.88863372803, 2669, 5.195062
88839.36715126038, 2669, 3.348105
88852.99563407898, 2669, 3.508415
88866.17803573608, 2669, 2.956164
88880.20658493042, 2669, 3.765943
88894.67811584473, 2669, 4.238311
88907.98902511597, 2669, 3.038568
88921.39935493469, 2669, 3.224548
88936.0511302948, 2669, 4.384835
88949.77974891663, 2669, 3.448897
88965.07096290588, 2669, 5.036171
88982.30838775635, 2669, 6.922505
88999.99523162842, 2669, 6.923885
89013.46182823181, 2669, 3.222997
89030.97486495972, 2669, 7.23893
89046.37670516968, 2669, 5.136532
89061.22660636902, 2669, 4.632274
89075.03366470337, 2669, 3.530245
89088.48237991333, 2669, 3.16733
89104.9427986145, 2669, 6.214177
89122.36499786377, 2669, 6.510829
89136.34037971497, 2669, 3.827754
89152.67825126648, 2669, 6.108371
